property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Elm/Ledbury,"2nd Floor Sport Lounge (F1 simulator, Gaming machines, sitting area, kitchenette)","2nd Floor Sport Lounge (F1 simulator, Gaming machines, sitting area, kitchenette)",Amenity,High Priority,,
Elm/Ledbury,2nd Floor The Temple (Fitness Centre),2nd Floor The Temple (Fitness Centre),Fitness,High Priority,,
Elm/Ledbury,2nd Floor Women's Washrooms,2nd Floor Women's Washrooms,Washroom / Change Room,High Priority,,
Elm/Ledbury,2nd Floor Yoga Studio,2nd Floor Yoga Studio,Fitness,High Priority,,
Elm/Ledbury,4 Elevator,4 Elevator,Elevator,High Priority,,
Elm/Ledbury,4 Elevators (#B1 to #B4),4 Elevators (#B1 to #B4),Elevator,High Priority,,
Elm/Ledbury,4 Elevators (#C1 to #C4),4 Elevators (#C1 to #C4),Elevator,High Priority,,
Elm/Ledbury,9th Floor 2 BBQs,9th Floor 2 BBQs,Terrace / Outdoor,High Priority,,
Elm/Ledbury,9th Floor 2 universal washrooms,9th Floor 2 universal washrooms,Washroom / Change Room,High Priority,,
Elm/Ledbury,9th Floor Amenities - STOA Outdoor Terraces,9th Floor Amenities - STOA Outdoor Terraces,Terrace / Outdoor,High Priority,,
Elm/Ledbury,9th Floor Amenities - Skyline Dog Run,9th Floor Amenities - Skyline Dog Run,Terrace / Outdoor,High Priority,,
Elm/Ledbury,9th Floor Pizza Oven,9th Floor Pizza Oven,Amenity,High Priority,,
Elm/Ledbury,Amenities 10th floor,Amenities 10th floor,Amenity,High Priority,,
Elm/Ledbury,Amenities 2nd floor,Amenities 2nd floor,Amenity,High Priority,,
Elm/Ledbury,Amenities 9th floor,Amenities 9th floor,Amenity,High Priority,,
Elm/Ledbury,Amenities UPH floor,Amenities UPH floor,Amenity,High Priority,,
Elm/Ledbury,"Chutes UPH, PH, 27th to 3rd","Chutes UPH, PH, 27th to 3rd",Waste / Garbage,High Priority,,
Elm/Ledbury,Corridor lighting,Corridor lighting,Corridor / Hallway,High Priority,,
Elm/Ledbury,Corridors (5 floors/day),Corridors (5 floors/day),Corridor / Hallway,High Priority,,
Elm/Ledbury,Gr. Floor Areas,Gr. Floor Areas,Other / Unknown,High Priority,,
Elm/Ledbury,In front of elevators PH to 3rd floor,In front of elevators PH to 3rd floor,Elevator,High Priority,,
Elm/Ledbury,List Office,List Office,Office / Admin,High Priority,,
Elm/Ledbury,Mail room/ Parcel Rm.,Mail room/ Parcel Rm.,Office / Admin,High Priority,,
Elm/Ledbury,Main entrance w/Enterphone area,Main entrance w/Enterphone area,Lobby,High Priority,,
Elm/Ledbury,Maintenance Room,Maintenance Room,Mechanical / Back-of-House,High Priority,,
Elm/Ledbury,Mngr. Offices w/kitchenette & 2 Offices,Mngr. Offices w/kitchenette & 2 Offices,Office / Admin,High Priority,,
Elm/Ledbury,P1 (Cement Exit),P1 (Cement Exit),Corridor / Hallway,High Priority,,
Elm/Ledbury,P1 Level,P1 Level,Other / Unknown,High Priority,,
Elm/Ledbury,P1-P4 (Parking Lobbies & Exits),P1-P4 (Parking Lobbies & Exits),Parking,High Priority,,
Elm/Ledbury,P2 (Cement Exit),P2 (Cement Exit),Corridor / Hallway,High Priority,,
Elm/Ledbury,P3 (Cement Exit),P3 (Cement Exit),Corridor / Hallway,High Priority,,
Elm/Ledbury,P4 (Cement Exit),P4 (Cement Exit),Corridor / Hallway,High Priority,,
Elm/Ledbury,Pet Spa (Beauty for the Beast),Pet Spa (Beauty for the Beast),Amenity,High Priority,,
Elm/Ledbury,Security desk,Security desk,Office / Admin,High Priority,,
Elm/Ledbury,Sitting Area,Sitting Area,Other / Unknown,High Priority,,
Elm/Ledbury,UPH Floor Bar,UPH Floor Bar,Amenity,High Priority,,
Elm/Ledbury,UPH Floor Co-working Lounge,UPH Floor Co-working Lounge,Amenity,High Priority,,
Elm/Ledbury,UPH Floor Dining Room,UPH Floor Dining Room,Amenity,High Priority,,
Elm/Ledbury,UPH Floor Grand Dining and Bar + LIDO Pool,UPH Floor Grand Dining and Bar + LIDO Pool,Pool / Spa,High Priority,,
Elm/Ledbury,UPH Floor LIDO Pool,UPH Floor LIDO Pool,Pool / Spa,High Priority,,
Elm/Ledbury,UPH Floor Lounge,UPH Floor Lounge,Amenity,High Priority,,
Elm/Ledbury,UPH Floor Meeting Room,UPH Floor Meeting Room,Amenity,High Priority,,
